Siruta,Localitate,Media
95471,Oras Targu Frumos,0.4772664285714286
158065,Peciu Nou,0.4772221428571428
9333,Livada,0.47719357142857144
106407,Recea,0.4755257142857143
61372,Cogealac,0.4751071428571429
76674,Liesti,0.4730635714285714
60776,Oras Cernavoda,0.472285
70174,Simnicu De Sus,0.4720421428571428
78329,Oras Targu Carbunesti,0.4720114285714287
117827,Oras Iernut,0.4719242857142857
45101,Berca,0.4714592857142858
83632,Municipiul Toplita,0.4710307142857143
102909,Fratesti,0.47065499999999993
93888,Oras Lehliu Gara,0.47050714285714285
120922,Horia,0.47033571428571436
10872,Ghioroc,0.4699185714285714
104136,Oras Mihailesti,0.46967428571428566
179409,Oras Magurele,0.4696214285714286
130892,Targsoru Vechi,0.46923
158449,Sacosu Turcesc,0.46821
102473,Dascalu,0.468085
83151,Bradesti,0.46799928571428573
40633,Bran,0.46763714285714286
146281,Ipotesti,0.4669478571428572
136599,Oras Negresti-Oas,0.46637071428571436
56988,Chinteni,0.4661028571428571
42708,Chiscani,0.46610071428571426
12368,Siria,0.4659864285714285
167794,Oras Brezoi,0.4657757142857143
17496,Mosoaia,0.4656035714285714
142079,Mesesenii De Jos,0.46530000000000005
102035,Clinceni,0.4649864285714286
41471,Moieciu,0.4643785714285715
13187,Bascov,0.46424285714285707
50102,Vernesti,0.4637392857142858
175019,Oras Odobesti,0.46371714285714294
33435,Lechinta,0.4627892857142856
86366,Zetea,0.46277785714285713
122702,Girov,0.4625707142857142
178821,Vulturu,0.4624114285714286
26877,Municipiul Marghita,0.46214500000000003
104546,Peris,0.46203928571428576
60801,Oras Harsova,0.4614021428571429
105936,Vidra,0.4604864285714286
25228,Saucesti,0.4604114285714286
95747,Aroneanu,0.4602814285714286
95355,Oras Harlau,0.46025428571428567
175885,Cotesti,0.4600628571428573
40214,Oras Ghimbav,0.45942642857142857
60062,Viisoara,0.4591135714285714
131817,Oras Valenii De Munte,0.4588571428571428
151683,Municipiul Turnu Magurele,0.458635
20313,Hemeius,0.4582792857142857
92765,Oras Tandarei,0.457785
174824,Golesti,0.45720571428571427
87424,Oras Calan,0.45663857142857145
151978,Oras Zimnicea,0.45570571428571427
60721,Tuzla,0.45505214285714285
120968,Oras Bicaz,0.4549164285714285
158109,Periam,0.45491285714285723
18527,Rucar,0.4545457142857143
136107,Valea Doftanei,0.4538085714285714
130712,Brazi,0.4535242857142857
8096,Oras Teius,0.4530714285714285
101298,Branesti,0.4528214285714286
87059,Municipiul Lupeni,0.45237285714285713
125016,Vanatori-Neamt,0.45135071428571427
133330,Floresti,0.4513392857142856
130954,Oras Azuga,0.45092785714285716
97679,Letcani,0.45082999999999995
57225,Ciurila,0.4508178571428571
42398,Vulcan,0.45044428571428574
49956,Vadu Pasii,0.45026
31976,Vadu Crisului,0.4501885714285714
65841,Municipiul Moreni,0.4500921428571429
58311,Luna,0.4498799999999999
143520,Rasinari,0.44982785714285717
101742,Cernica,0.44982357142857143
174860,Municipiul Adjud,0.44957714285714284
84344,Ditrau,0.4492192857142857
158653,Sanandrei,0.4487942857142858
114355,Cristesti,0.44816071428571425
63447,Oras Baraolt,0.4479514285714286
131103,Oras Breaza,0.44789714285714277
38063,Mihai Eminescu,0.4478564285714285
86990,Municipiul Petrosani,0.4476478571428571
174021,Vaideeni,0.44747499999999996
131210,Oras Busteni,0.4473421428571429
40303,Oras Predeal,0.4472778571428572
12144,Sagu,0.4472585714285713
140627,Crasna,0.4468950000000001
143487,Cristian,0.44668
29902,Lugasu De Jos,0.44662428571428564
177236,Paunesti,0.44634500000000005
131443,Oras Plopeni,0.44608
58008,Iara,0.44605285714285714
77910,Balesti,0.4458978571428571
29948,Lunca,0.44578642857142853
141376,Hereclean,0.44576785714285716
98505,Popricani,0.4451085714285714
179463,Mogosoaia,0.4449742857142857
13819,Albestii De Arges,0.4444835714285714
65609,Oras Fieni,0.44428571428571434
62360,Oras Murfatlar,0.44390571428571424
158181,Pischia,0.44388071428571424
69964,Bucovat,0.4438342857142857
62191,Mihail Kogalniceanu,0.44380928571428574
84825,Lupeni,0.44374214285714286
1455,Oras Campeni,0.44365714285714286
56666,Caseiu,0.44352928571428574
151905,Oras Videle,0.44312571428571423
30568,Popesti,0.44294
63740,Municipiul Targu Secuiesc,0.4428849999999999
89856,Ilia,0.44276571428571426
31011,Salard,0.44274857142857144
34235,Prundu Bargaului,0.4422778571428572
108400,Ocna Sugatag,0.4418371428571429
102525,Darasti-Ilfov,0.4417064285714286
155760,Becicherecu Mic,0.4415621428571429
131620,Oras Urlati,0.44147571428571436
84594,Lazarea,0.44144785714285717
1348,Municipiul Blaj,0.4408478571428572
60482,Municipiul Mangalia,0.44052714285714284
159213,Varias,0.4402185714285714
61513,Corbu,0.4401478571428572
1794,Oras Ocna Mures,0.44002
146370,Oras Salcea,0.43991785714285714
48325,Oras Patarlagele,0.4389971428571429
10293,Buteni,0.4386442857142857
134096,Maneciu,0.43827999999999995
114854,Oras Sovata,0.43813571428571435
13935,Albota,0.43767999999999996
59434,Sancraiu,0.43754071428571434
44560,Cazasu,0.43709499999999996
30915,Oras Sacueni,0.4368714285714286
65379,Aninoasa,0.43680071428571426
120487,Corunca,0.43665857142857145
171325,Mihaesti,0.4364221428571428
103130,Ganeasa,0.43608214285714275
123914,Raucesti,0.43510214285714294
168452,Oras Balcesti,0.4348635714285714
57948,Garbau,0.4347678571428571
82430,Oras Tismana,0.43450071428571435
131407,Oras Mizil,0.4340671428571428
75953,Corod,0.4340042857142858
9654,Oras Pancota,0.43387000000000003
14851,Budeasa,0.4338378571428571
78016,Dragutesti,0.4338335714285714
13668,Oras Costesti,0.4338314285714286
155403,Oras Buzias,0.4327528571428571
1071,Ciugud,0.4320757142857143
15108,Calinesti,0.4320421428571429
175055,Oras Panciu,0.43164428571428576
50889,Oras Anina,0.43148214285714287
55473,Aghiresu,0.4313235714285714
11539,Paulis,0.43104285714285717
20965,Oras Targu Ocna,0.43069357142857134
177842,Suraia,0.4305428571428571
139330,Vama,0.4298885714285715
11398,Macea,0.42982428571428566
100736,Manasia,0.4292864285714285
133214,Filipestii De Targ,0.42835928571428566
29519,Hidiselu De Sus,0.4283442857142857
110116,Oras Strehaia,0.42785571428571434
1936,Oras Zlatna,0.427425
134942,Puchenii Mari,0.42720214285714286
110063,Municipiul Orsova,0.4265421428571428
31716,Tileagd,0.426525
29092,Diosig,0.42631285714285705
176301,Gugesti,0.4261521428571429
31262,Suplacu De Barcau,0.4254185714285715
20411,Magura,0.4250742857142857
85760,Sandominic,0.4248335714285715
33248,Feldru,0.42448214285714286
148426,Dumbraveni,0.4237664285714286
159687,Oras Isaccea,0.42341357142857144
19695,Valea Iasului,0.42338000000000003
51056,Oras Moldova Noua,0.42313785714285707
13757,Oras Topoloveni,0.42278714285714286
35946,Oras Darabani,0.42226928571428574
134014,Magurele,0.42193142857142857
115959,Ceuasu De Campie,0.421825
75515,Barcea,0.42134499999999997
92836,Oras Amara,0.42133785714285715
32153,Tamaseu,0.420705
158966,Topolovatu Mare,0.4198928571428571
98685,Raducaneni,0.4197471428571428
117177,Gornesti,0.4192335714285714
157246,Giarmata,0.41896428571428573
97919,Miroslava,0.4188142857142857
107733,Copalnic-Manastur,0.41875214285714285
116288,Craciunesti,0.4181657142857143
132404,Brebu,0.41796571428571433
55277,Mihai Viteazu,0.4177807142857143
84264,Dealu,0.4176871428571428
145471,Sadu,0.4175414285714286
60598,23-Aug,0.41739571428571437
26840,Oras Stei,0.4173664285714285
133508,Gorgota,0.41735428571428573
77331,Tulucesti,0.41731071428571426
29573,Holod,0.4173021428571429
36453,Oras Bucecea,0.41712071428571434
143682,Oras Agnita,0.4170528571428572
35759,Curtesti,0.4165414285714287
29467,Girisu De Cris,0.4165371428571429
83464,Oras Balan,0.41653714285714283
27631,Bors,0.41649642857142855
125622,Oras Draganesti-Olt,0.41646500000000003
116938,Ganesti,0.4163414285714286
145293,Porumbacu De Jos,0.4159842857142858
157530,Lovrin,0.4159764285714286
