Regiune/Haplogrup,L,HV,H,H1_H3,H5,HV0_V,J,T1,T2,U2,U3,U4,U5,U,K,Eu,W,X,Alt,M?rime
Slovenia,0,1.1,44.4,14.5,8.1,4.8,9.8,2.5,6.4,1.1,1.7,2.8,9,1.4,5.3,2.8,2.2,1.1,3.7,358
Spain,2.4,0.7,44.1,28,2.6,7.5,6.6,2.1,6.4,1.1,1.4,1.9,8.1,1.8,6.3,1.1,1.4,1.7,5.5,2506
Andalusia,7.4,0.8,44.3,29.5,,4.8,8.9,2.3,2.6,1,1,1.6,5.7,1.2,6.8,1.3,1.6,3.2,3.1,310
Aragon,1.2,1,39.3,,,5,15.8,0,10.9,0.8,0,1.7,9.6,0,4.2,1.7,0.8,0.8,7.2,119
Asturias,0,1,54.1,,,5.6,9,0,1.1,0,2.2,0,12.3,2.2,7.9,1.1,1.1,0,2.4,89
Basques,0.3,0.8,49,44,2.8,7.9,7.6,1.5,6,1,0.3,0.8,11.7,1.9,5.3,0.6,1.1,2.3,1.8,618
Cantabria,1.6,2.5,37.6,27,,19,3.7,0.4,2.5,0.8,1.2,2.9,10.7,2.5,3.7,2.9,0,0,0.4,242
Catalonia,3.1,0.5,29.5,,,7.5,7,1.3,7.6,1.3,2.5,3.8,10.1,3.9,10,1.3,5,2.5,3.1,80
Galicia,3.7,1,58.5,34,,3.8,8.6,1.1,3.7,1.6,0,0.5,5.4,1.5,4.9,0.5,1.6,1.1,0.5,185
Syria,5.9,2.5,26.2,0,1.7,2.5,8.5,3.4,8.5,0.9,5.1,2.5,1.7,10.2,5.9,0,2.5,0.9,12.7,118
Sweden,0.6,0.5,45.8,31.5,2.2,5,7.7,2.7,4,0.8,0.6,3,12.1,2.8,6.4,2.8,1.3,1.3,2.5,637
Switzerland,0.9,0.4,47.9,15.5,4.4,4.9,11.5,2.2,9.3,0.9,0.9,3.1,6.7,0.4,5.3,0.9,1.8,0.4,2.7,225
Tunisia,28.2,3.1,28.2,11.5,2.3,3.9,4.7,3.1,3.6,0.3,0.5,0.5,2.6,9.6,2.6,0.3,0,0.8,8.2,387
Turkey,1.3,4.8,30.8,4.5,2.4,0.7,8.9,2.8,4.3,1.3,3.7,1.9,3,6.3,5.6,1.5,1.9,1.9,19.2,463
Ukraine,0.3,3.5,39,11.5,2,4.3,8.1,2.9,8.4,1.7,0.9,5.8,9.8,0.6,4.9,1.7,2.6,0.9,5.7,346
Wales,0,0,59.8,,8.7,4.3,15.3,2.2,1.1,0,0,0,4.4,0,7.6,3.3,0,1.1,0.9,92
