CountryID,Country,Continent
262,"Djibouti, Republic of",Africa
266,"Gabon, Gabonese Republic",Africa
268,Georgia,Europe
270,"Gambia, Republic of the",Africa
275,"Palestinian Territory, Occupied",Asia
276,"Germany, Federal Republic of",Europe
288,"Ghana, Republic of",Africa
292,Gibraltar,Europe
296,"Kiribati, Republic of",Oceania
300,"Greece, Hellenic Republic",Europe
304,Greenland,North_America
308,Grenada,North_America
312,Guadeloupe,North_America
316,Guam,Oceania
320,"Guatemala, Republic of",North_America
324,"Guinea, Republic of",Africa
328,"Guyana, Co-operative Republic of",South_America
332,"Haiti, Republic of",North_America
334,Heard Island and McDonald Islands,Antarctica
336,Holy See (Vatican City State),Europe
340,"Honduras, Republic of",North_America
344,"Hong Kong, Special Administrative Region of China",Asia
348,"Hungary, Republic of",Europe
352,"Iceland, Republic of",Europe
356,"India, Republic of",Asia
360,"Indonesia, Republic of",Asia
364,"Iran, Islamic Republic of",Asia
368,"Iraq, Republic of",Asia
372,Ireland,Europe
376,"Israel, State of",Asia
380,"Italy, Italian Republic",Europe
384,"Cote d'Ivoire, Republic of",Africa
388,Jamaica,North_America
392,Japan,Asia
398,"Kazakhstan, Republic of",Asia
400,"Jordan, Hashemite Kingdom of",Asia
404,"Kenya, Republic of",Africa
408,"Korea, Democratic People's Republic of",Asia
410,"Korea, Republic of",Asia
414,"Kuwait, State of",Asia
417,Kyrgyz Republic,Asia
418,Lao People's Democratic Republic,Asia
422,"Lebanon, Lebanese Republic",Asia
426,"Lesotho, Kingdom of",Africa
428,"Latvia, Republic of",Europe
430,"Liberia, Republic of",Africa
434,Libyan Arab Jamahiriya,Africa
438,"Liechtenstein, Principality of",Europe
440,"Lithuania, Republic of",Europe
442,"Luxembourg, Grand Duchy of",Europe
446,"Macao, Special Administrative Region of China",Asia
450,"Madagascar, Republic of",Africa
454,"Malawi, Republic of",Africa
458,Malaysia,Asia
462,"Maldives, Republic of",Asia
466,"Mali, Republic of",Africa
470,"Malta, Republic of",Europe
474,Martinique,North_America
478,"Mauritania, Islamic Republic of",Africa
480,"Mauritius, Republic of",Africa
484,"Mexico, United Mexican States",North_America
492,"Monaco, Principality of",Europe
496,Mongolia,Asia
498,"Moldova, Republic of",Europe
499,"Montenegro, Republic of",Europe
500,Montserrat,North_America
504,"Morocco, Kingdom of",Africa
508,"Mozambique, Republic of",Africa
512,"Oman, Sultanate of",Asia
516,"Namibia, Republic of",Africa
520,"Nauru, Republic of",Oceania
524,"Nepal, State of",Asia
528,"Netherlands, Kingdom of the",Europe
530,Netherlands Antilles,North_America
531,Curacao,North_America
533,Aruba,North_America
534,Sint Maarten (Netherlands),North_America
535,"Bonaire, Sint Eustatius and Saba",North_America
540,New Caledonia,Oceania
548,"Vanuatu, Republic of",Oceania
554,New Zealand,Oceania
558,"Nicaragua, Republic of",North_America
562,"Niger, Republic of",Africa
566,"Nigeria, Federal Republic of",Africa
570,Niue,Oceania
574,Norfolk Island,Oceania
578,"Norway, Kingdom of",Europe
580,"Northern Mariana Islands, Commonwealth of the",Oceania
581,United States Minor Outlying Islands,Oceania
583,"Micronesia, Federated States of",Oceania
584,"Marshall Islands, Republic of the",Oceania
585,"Palau, Republic of",Oceania
586,"Pakistan, Islamic Republic of",Asia
591,"Panama, Republic of",North_America
598,"Papua New Guinea, Independent State of",Oceania
600,"Paraguay, Republic of",South_America
604,"Peru, Republic of",South_America
608,"Philippines, Republic of the",Asia
612,Pitcairn Islands,Oceania
616,"Poland, Republic of",Europe
620,"Portugal, Portuguese Republic",Europe
624,"Guinea-Bissau, Republic of",Africa
626,"Timor-Leste, Democratic Republic of",Asia
630,"Puerto Rico, Commonwealth of",North_America
634,"Qatar, State of",Asia
638,Reunion,Africa
642,Romania,Europe
643,Russian Federation,Europe
646,"Rwanda, Republic of",Africa
652,Saint Barthelemy,North_America
