CountryId,Country,Air_quality_Carbon_Monoxide,Air_quality_Ozone,Air_quality_Nitrogen_dioxide,Air_quality_Sulphur_dioxide,Air_quality_PM2.5,Air_quality_PM10
752,Sweden,309.2018,42.5832,10.9504,6.1664,3.2593,4.5451
756,Switzerland,346.6301,27.4398,20.6442,4.2274,13.1611,15.1991
760,Syria,230.8805,58.615,12.7894,7.8912,19.2655,43.7805
762,Tajikistan,238.5469,49.5876,4.3487,9.0965,7.5602,14.4876
834,Tanzania,239.8602,30.5319,0.4673,0.1336,1.7823,3.4487
764,Thailand,1982.5773,6.1809,26.2773,19.06,82.3196,105.7173
626,Timor-Leste,310.6255,42.7941,0.8637,0.3176,5.0167,8.1137
776,Tonga,206.5363,49.0965,0.1814,0.4407,3.1761,12.2796
780,Trinidad and Tobago,278.2752,52.2221,7.5699,0.9947,2.3,4.6336
788,Tunisia,281.9637,67.585,6.885,3.1027,12.3062,25.531
792,Turkey,408.265,36.5903,24.5858,13.2615,31.7721,38.7619
795,Turkmenistan,297.6221,43.1274,32.5611,10.5929,17.0434,53.8434
798,Tuvalu,184.9616,24.5973,0,0.0768,0.9866,2.6241
800,Uganda,906.0752,7.7327,4.7097,1.4434,45.3637,65.0858
804,Ukraine,258.1115,38.6133,9.7593,3.5106,6.0354,7.4106
784,United Arab Emirates,265.4372,134.4009,2.969,3.6885,38.9416,93.0664
826,United Kingdom,284.0195,35.6876,26.6655,7.8637,7.8009,9.9221
840,United States of America,304.1062,60.1611,8.1133,0.3062,5.769,6.8088
858,Uruguay,386.9301,49.1558,8.2062,7.6858,5.4566,9.0929
860,Uzbekistan,381.8752,15.2611,39.2018,2.5,11.9363,18.3469
548,Vanuatu,205.8354,45.4,0.0513,0.5965,3.7336,12.3956
336,Vatican City,834.7071,20.1071,31.4788,1.9761,25.0566,30.5
862,Venezuela,490.9053,55.8327,33.0673,51.7743,20.2,21.285
704,Vietnam,1479.623,17.7717,32.9664,14.4973,110.9504,131.2106
887,Yemen,206.3593,61.7717,8.5584,13.8619,28.485,98.7575
894,Zambia,1399.4805,37.6257,7.4805,6.1115,22.2044,33.5133
716,Zimbabwe,611.9575,33.623,8.2407,9.0664,33.1903,41.3239
