Localitate,F1,F2
Oras Lipova,2.0756437684182933,0.4097185557284545
Oras Nadlac,1.219484627176988,1.315623471205286
Oras Pancota,0.3599994412111045,1.2629939282095748
Oras Sebis,1.957606157636285,0.57197982912843
Almas,-0.2206167372973413,0.2556340300856407
Apateu,0.03951199116528118,0.17495716806767814
Archis,0.5109725874927759,-0.16143584085148424
Bata,-0.47068758784719017,-0.28654671146404953
Beliu,-0.2954975685680834,0.3233245254384855
Birchis,0.5486881705744252,-0.23114900534090252
Barsa,0.49237008407844296,-0.28580783728652964
Barzava,-0.015087302490825308,-0.42540715545841473
Bocsig,1.9052617687613114,-2.012941072606762
Brazii,-0.5952683853660883,-0.7704440522850707
Buteni,1.086212481883985,0.5408750062261874
Carand,-1.1371997459385759,-0.03264185987513841
Cermei,0.8532678068787602,-0.0718183134834281
Chisindia,0.3463807335706821,-0.39852978883070533
Conop,0.10659831963691754,0.06511702599742734
Covasint,-0.8749843283594194,0.5905636998928696
Craiva,-0.5713837623273385,1.0336618810569076
Dezna,0.704434346964793,-1.122211619053422
Dieci,0.9822504584508713,-1.4453232058298868
Ususau,-1.124934051478171,0.14330046212568578
Felnac,1.2022999505624807,-0.44165445185119506
Ghioroc,1.1818670195859409,0.8242929839785544
Graniceri,0.1633484237315785,0.14886638404936717
Gurahont,0.7419248449235953,0.5068252716912132
Halmagiu,0.37360548149008954,-0.23920302150020092
Halmagel,0.5189537949367097,-1.0885976326231661
Hasmas,0.07478308908725308,-1.0193323646896875
Ignesti,-0.2558555614485607,-2.2237246345170143
Iratosu,1.1988447321979079,-0.19252351181004224
Macea,0.5124114802554399,1.0278772265097014
Misca,0.7016945816909401,-0.44893200798988603
Moneasa,0.6115058820677618,0.05068198327875442
Olari,0.239239634714013,-1.102924202418471
Paulis,1.0326708637638562,0.4879958892012864
Oras Pecica,1.6676592278526803,0.972338018996386
Peregu Mare,-0.09206807087372489,0.09924689619021164
Petris,-2.546216989644064,1.3672260900302684
Pilu,0.9949258706189948,-0.7052654608597735
Plescuta,-2.1674023494114727,0.2994983225903594
Savarsin,0.21928784062601692,0.26077022401036
Secusigiu,0.3888938014722308,0.11088837918802666
Seleus,0.1385198965160582,0.008514932003688502
Semlac,0.9249231961656906,-0.17367184022576165
Sintea Mare,0.40241955995068807,-0.7533835143721618
Oras Santana,-0.859513226903987,-0.07302464433550383
Socodor,-0.26343692754600107,0.306241813578166
Sagu,1.2682036560586756,0.47090810637702807
Seitin,0.6893127824216913,-0.4333610323268918
Sepreus,-0.9533406705828631,0.6110986301178202
