Siruta,Localitate,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
2381,Arieseni,0.30413,0.33923,0.32518,0.31135,0.33474,0.28554,0.36173,0.3816,0.41339,0.41244,0.44568,0.45287,0.45184,0.43795
2577,Avram Iancu,0.27109,0.2897,0.19454,0.23011,0.21468,0.23882,0.2503,0.2246,0.23084,0.27093,0.28415,0.29581,0.43088,0.42583
2915,Oras Baia De Aries,0.22891,0.21457,0.24296,0.27901,0.27561,0.2895,0.29115,0.30485,0.34879,0.37665,0.36373,0.37819,0.39017,0.4204
2988,Berghin,0.2751,0.24636,0.24132,0.27197,0.2495,0.34347,0.30657,0.2948,0.3202,0.33354,0.35761,0.36849,0.36266,0.40133
3039,Bistra,0.34979,0.3535,0.36642,0.35011,0.35005,0.37731,0.34973,0.35724,0.38585,0.41039,0.42619,0.42895,0.40654,0.06391
3397,Blandiana,0.2406,0.24268,0.13994,0.16815,0.19027,0.19834,0.12407,0.12404,0.16195,0.08761,0.0,0.0,0.0,0.0
3459,Bucium,0.25596,0.23725,0.29151,0.2712,0.25277,0.24503,0.27417,0.24052,0.17999,0.25756,0.26174,0.27117,0.26831,0.25397
3761,Cenade,0.17104,0.0875,0.10802,0.10802,0.10805,0.1518,0.13517,0.13395,0.12834,0.0639,0.07798,0.09917,0.10799,0.17112
3805,Cergau,0.20774,0.22876,0.2977,0.29248,0.26776,0.2275,0.26247,0.28678,0.18099,0.16334,0.27904,0.28312,0.27004,0.26098
3841,Ceru-Bacainti,0.27042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3312,0.0
3958,Cetatea De Balta,0.06684,0.06382,0.10656,0.13447,0.16875,0.22608,0.241,0.24267,0.25124,0.23617,0.24721,0.15721,0.17889,0.21307
4008,Ciuruleasa,0.29917,0.30065,0.29911,0.32325,0.31903,0.31396,0.30086,0.27698,0.31377,0.31941,0.32149,0.32645,0.36064,0.33743
4106,Calnic,0.0683,0.0838,0.07641,0.11397,0.18168,0.23115,0.22966,0.15176,0.19683,0.21227,0.23549,0.24467,0.40373,0.4343
4142,Cricau,0.31906,0.33419,0.28512,0.33559,0.33721,0.34548,0.38248,0.36915,0.36194,0.33223,0.35051,0.40193,0.36594,0.36507
4188,Craciunelu De Jos,0.25881,0.27018,0.33295,0.28499,0.2818,0.29361,0.27356,0.28928,0.2776,0.23007,0.25073,0.29984,0.25799,0.30017
4240,Daia Romana,0.36267,0.3224,0.35722,0.36299,0.35632,0.3532,0.30759,0.34265,0.29743,0.40231,0.39066,0.39443,0.41303,0.42613
4268,Dostat,0.1354,0.13841,0.07996,0.11972,0.14854,0.16615,0.1772,0.19936,0.17845,0.19291,0.24662,0.24089,0.23656,0.26758
4302,Farau,0.11691,0.14583,0.16707,0.0756,0.12161,0.2266,0.22702,0.22453,0.18933,0.19334,0.20371,0.22817,0.23402,0.27771
4366,Galda De Jos,0.25937,0.24953,0.26282,0.26799,0.2562,0.26105,0.27882,0.28797,0.27093,0.25655,0.27146,0.27065,0.29344,0.30255
4482,Garbova,0.25598,0.27699,0.32516,0.33815,0.33189,0.25989,0.27361,0.24989,0.25811,0.24711,0.26341,0.26894,0.31794,0.33979
4525,Garda De Sus,0.27831,0.29502,0.26075,0.24563,0.22982,0.27052,0.26882,0.23044,0.24802,0.20641,0.24027,0.2375,0.24414,0.23985
4703,Hoparta,0.20859,0.14871,0.26641,0.24454,0.29159,0.19244,0.19689,0.19178,0.23703,0.17954,0.193,0.17353,0.22808,0.23074
4767,Horea,0.24387,0.26976,0.36289,0.35323,0.39087,0.38992,0.38228,0.35456,0.36982,0.378,0.39124,0.35335,0.33469,0.31655
4927,Ighiu,0.41135,0.02398,0.3997,0.40192,0.38234,0.38938,0.38786,0.40128,0.41192,0.38958,0.37885,0.38175,0.40039,0.43424
4981,Intregalde,0.12483,0.0,0.0,0.0,0.0,0.0,0.0587,0.0,0.07018,0.08761,0.09324,0.0,0.10486,0.03485
5103,Jidvei,0.07038,0.08895,0.15875,0.19133,0.17726,0.17346,0.16259,0.1936,0.17312,0.16423,0.17364,0.18264,0.20577,0.18953
5167,Livezile,0.20373,0.17443,0.20428,0.23549,0.27359,0.20071,0.27235,0.28018,0.27661,0.23348,0.26269,0.29628,0.34192,0.35831
5210,Lopadea Noua,0.28885,0.31335,0.31172,0.31029,0.2883,0.33845,0.39067,0.37055,0.37137,0.37753,0.42675,0.39777,0.39092,0.41555
5309,Lunca Muresului,0.29004,0.25871,0.28862,0.30948,0.33685,0.34107,0.35103,0.30154,0.34073,0.32661,0.33186,0.35107,0.37785,0.34787
5336,Lupsa,0.35132,0.33523,0.38601,0.37418,0.38514,0.39417,0.37737,0.39405,0.42217,0.38238,0.44024,0.41787,0.4095,0.4318
5577,Metes,0.34185,0.33333,0.2922,0.31779,0.31546,0.32012,0.36363,0.34522,0.35229,0.35379,0.35381,0.32569,0.33912,0.36343
5700,Mihalt,0.34349,0.33631,0.33281,0.31354,0.33748,0.29926,0.29235,0.2464,0.31156,0.28357,0.30946,0.3558,0.31795,0.28284
