Siruta,Localitate,Div Medie,2021
93717,Grindu,0.25016714285714275,0.22368
93735,Grivita,0.33075928571428564,0.27626
94081,Movila,0.11442428571428573,0.09729
94269,Reviga,0.2708885714285714,0.26077
94429,Scanteia,0.221115,0.18104
94580,Stefan Voda,0.15853571428571425,0.14734
94606,Ulmu,0.18837571428571429,0.16195
94731,Valcelele,0.292,0.28135
95060,Municipiul Iasi,0.7460085714285715,0.7215
95391,Municipiul Pascani,0.5804492857142858,0.57637
95943,Bivolari,0.17623000000000003,0.14254
96888,Dobrovat,0.2848764285714286,0.27314
96940,Dumesti,0.17395785714285714,0.13798
97394,Grozesti,0.18091285714285713,0.1656
97777,Madarjac,0.028731428571428574,0.0
98257,Movileni,0.2166992857142857,0.2127
98373,Oras Podu Iloaiei,0.3737642857142857,0.32039
98505,Popricani,0.4451085714285714,0.3965
98827,Schitu Duca,0.2936728571428571,0.29328
99539,Todiresti,0.21274357142857145,0.13024
99879,Tiganasi,0.24073142857142857,0.21162
100219,Voinesti,0.26041,0.18992
100834,Afumati,0.5721507142857142,0.52201
101163,Bolintin-Deal,0.359665,0.34952
101243,Brazii,0.052870714285714285,0.04008
101298,Branesti,0.4528214285714286,0.36532
101378,Bucsani,0.2810214285714286,0.25008
102035,Clinceni,0.4649864285714286,0.46423
102570,Domnesti,0.49553642857142854,0.4894
102641,Dragoesti,0.16872857142857142,0.1018
102794,Floresti-Stoenesti,0.26784642857142854,0.26355
103087,Gaiseni,0.2138085714285715,0.19506
104083,Luica,0.18747642857142857,0.17842
104831,Roata De Jos,0.3459842857142858,0.30747
105222,Sohatu,0.21689714285714284,0.18945
105259,Spantov,0.2934721428571429,0.21485
105295,Stanesti,0.2613064285714286,0.19776
106318,Municipiul Baia Mare,0.7055285714285714,0.69975
106648,Vadu Izei,0.33088928571428583,0.28657
107154,Baiut,0.2846771428571429,0.28381
107519,Budesti,0.29267928571428575,0.29191
107662,Cicarlau,0.37627999999999995,0.36438
107920,Cupseni,0.27985785714285716,0.27792
108035,Dumbravita,0.22009785714285715,0.12706
108400,Ocna Sugatag,0.4418371428571429,0.42201
109354,Valea Chioarului,0.3145071428571429,0.31433
110063,Municipiul Orsova,0.4265421428571428,0.40307
110456,Balta,0.14477,0.06388
110688,Balvanesti,0.13572285714285715,0.09915
110875,Brosteni,0.16869357142857141,0.1292
111417,Corlatel,0.12057428571428572,0.05064
111480,Devesel,0.2960957142857143,0.26454
111550,Darvari,0.17674857142857142,0.08818
111587,Dumbrava,0.04594357142857143,0.0
111685,Floresti,0.18996714285714283,0.15412
111863,Gogosu,0.3333557142857143,0.24415
111916,Greci,0.18272428571428573,0.18103
112030,Gruia,0.18761857142857144,0.15176
112334,Ilovita,0.18083357142857143,0.17549
112664,Malovat,0.2585085714285714,0.2459
112744,Obarsia De Camp,0.1155492857142857,0.05541
112879,Patulele,0.27106857142857144,0.1797
113206,Pristol,0.14083,0.0986
113466,Rogova,0.22507142857142853,0.20889
113518,Stangaceaua,0.04441642857142857,0.0
113974,Voloiac,0.06565142857142857,0.0
114060,Branistea,0.13970714285714286,0.1176
114355,Cristesti,0.44816071428571425,0.44023
114453,Santana De Mures,0.5250585714285716,0.5113
114603,Albesti,0.3504257142857143,0.282
114854,Oras Sovata,0.43813571428571435,0.41643
114925,Municipiul Tarnaveni,0.5874242857142857,0.573
115147,Alunis,0.3783607142857143,0.37637
115959,Ceuasu De Campie,0.421825,0.41504
116867,Galesti,0.2950042857142857,0.28628
116938,Ganesti,0.4163414285714286,0.36637
117113,Glodeni,0.2408814285714286,0.21536
117783,Ideciu De Jos,0.3295185714285714,0.29092
118058,Lunca Bradului,0.33404214285714284,0.29254
118469,Nades,0.20949428571428572,0.20048
118511,Neaua,0.03626,0.0
119153,Rusii-Munti,0.27730785714285716,0.15892
120076,Vargata,0.3188685714285714,0.28327
120138,Vatava,0.20000642857142856,0.10161
120860,Municipiul Roman,0.6039135714285715,0.60252
120888,Cordun,0.40253071428571424,0.36309
120968,Oras Bicaz,0.4549164285714285,0.44293
121242,Baltatesti,0.3670121428571429,0.36278
121340,Bicazu Ardelean,0.29030500000000004,0.24206
121652,Borca,0.3492428571428571,0.32899
121732,Borlesti,0.39791571428571426,0.38008
122347,Doljesti,0.34840071428571434,0.34625
122463,Dulcesti,0.3533457142857143,0.33302
122613,Faurei,0.22431642857142856,0.20417
123175,Margineni,0.25121857142857146,0.22291
123521,Pipirig,0.33203714285714286,0.30717
123601,Pangarati,0.38483071428571425,0.37749
123709,Poienari,0.19825928571428572,0.18788
124117,Oras Roznov,0.4129135714285714,0.38404
124233,Secuieni,0.25258357142857146,0.1699
124331,Stanita,0.18424714285714283,0.13987
124411,Stefan Cel Mare,0.3026771428571428,0.26434
124661,Timisesti,0.2971721428571429,0.28814
125123,Valeni,0.2422542857142857,0.18571
125141,Pancesti,0.007083571428571428,0.0
125150,Gadinti,0.303655,0.28497
125347,Municipiul Slatina,0.6043035714285715,0.59028
125999,Brebeni,0.3775857142857143,0.34922
126326,Corbu,0.15711571428571428,0.14292
126718,Dobrosloveni,0.27736428571428573,0.25124
127064,Ganeasa,0.3592964285714286,0.31162
127224,Grojdibodu,0.2609242857142857,0.18129
127411,Leleasca,0.12139714285714284,0.10797
128052,Perieti,0.31731642857142855,0.31393
128221,Plesoiu,0.3400435714285714,0.3177
128588,Rusanesti,0.2574114285714285,0.21164
128882,Samburesti,0.023299285714285713,0.0
129040,Sprancenata,0.1675314285714286,0.15735
129246,Serbanesti,0.1955292857142857,0.17785
129585,Tufeni,0.20693571428571428,0.18377
130231,Vulturesti,0.2222064285714286,0.21032
130348,Ipotesti,0.05044928571428571,0.04745
130534,Municipiul Ploiesti,0.7140578571428572,0.7015
130614,Berceni,0.3755257142857143,0.35576
130712,Brazi,0.4535242857142857,0.36544
130981,Oras Baicoi,0.5638957142857143,0.5593
131210,Oras Busteni,0.4473421428571429,0.442
131256,Municipiul Campina,0.5964414285714286,0.58692
131620,Oras Urlati,0.44147571428571436,0.42271
131817,Oras Valenii De Munte,0.4588571428571428,0.44133
132075,Aricestii Rahtivani,0.30100071428571434,0.27303
132486,Carbunesti,0.24743285714285715,0.2447
132510,Ceptura,0.36649642857142856,0.35786
132645,Chiojdeanca,0.22948357142857143,0.21536
132681,Ciorani,0.18887285714285712,0.1717
132716,Cocorastii Mislii,0.3508585714285714,0.28752
133161,Filipestii De Padure,0.40993928571428573,0.36826
133508,Gorgota,0.41735428571428573,0.40027
134390,Plopu,0.3074135714285714,0.26895
134443,Podenii Noi,0.3005035714285714,0.27933
135315,Starchiojd,0.22599999999999998,0.17605
135501,Soimari,0.23487428571428567,0.20201
135654,Talea,0.2606928571428571,0.25555
135789,Telega,0.38274857142857144,0.37536
136198,Valcanesti,0.3346521428571428,0.33042
136241,Cocorastii Colt,0.2642492857142857,0.17611
137363,Cehal,0.11245428571428574,0.0
137443,Craidorolt,0.20530714285714288,0.14196
137675,Dorolt,0.29610499999999995,0.26669
137728,Foieni,0.12102999999999998,0.0885
137746,Gherta Mica,0.28590214285714294,0.24947
137899,Homoroade,0.2814485714285714,0.2733
138538,Pir,0.20329999999999998,0.12321
138921,Supur,0.2592892857142857,0.1546
139107,Tiream,0.2715342857142857,0.24289
139143,Tarsolt,0.24229357142857144,0.19076
139704,Municipiul Zalau,0.6676957142857144,0.66497
140324,Bocsa,0.26809071428571435,0.23495
140379,Buciumi,0.3544485714285714,0.31518
140440,Camar,0.30755785714285716,0.29152
140583,Coseiu,0.26695857142857143,0.22162
142337,Plopis,0.2589328571428572,0.24779
143450,Municipiul Sibiu,0.7020571428571428,0.69663
143487,Cristian,0.44668,0.34789
143771,Oras Copsa Mica,0.23522857142857143,0.17978
