Siruta,Localitate,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12402,Sistarovat,0.14781,0.10705,0.16196,0.10701,0.2107,0.20403,0.22165,0.23274,0.2835,0.31889,0.30326,0.29395,0.23478,0.16663
12876,Zimandu Nou,0.42981,0.44048,0.41575,0.39374,0.47827,0.35074,0.47464,0.27132,0.24579,0.2576,0.27366,0.25436,0.26644,0.27377
12920,Frumuseni,0.42033,0.47078,0.44302,0.43361,0.40499,0.38146,0.29759,0.37848,0.31312,0.31895,0.34998,0.37165,0.35301,0.33949
13365,Maracineni,0.48756,0.49476,0.53111,0.53634,0.52126,0.51767,0.51365,0.5081,0.49619,0.48938,0.49972,0.49994,0.49579,0.50641
13490,Municipiul Campulung,0.62152,0.62808,0.64775,0.63818,0.62481,0.62296,0.63027,0.61412,0.61924,0.61462,0.60737,0.62064,0.62145,0.62365
14165,Baiculesti,0.3273,0.29149,0.29935,0.31401,0.3599,0.3769,0.32401,0.35658,0.37592,0.4087,0.4081,0.40131,0.3476,0.3478
16285,Davidesti,0.34115,0.32985,0.32164,0.34428,0.28722,0.30619,0.2921,0.29411,0.26281,0.24004,0.26634,0.27767,0.27377,0.25954
16365,Darmanesti,0.27576,0.27117,0.27255,0.26103,0.23598,0.22368,0.21837,0.22091,0.21979,0.20223,0.19272,0.1894,0.1985,0.21364
17423,Moraresti,0.29286,0.31272,0.31839,0.27835,0.29343,0.24455,0.23664,0.26577,0.24441,0.24751,0.25529,0.23854,0.26647,0.26317
18242,Priboieni,0.3225,0.29973,0.25356,0.35702,0.3307,0.32369,0.35704,0.32851,0.32551,0.34473,0.31614,0.28376,0.28389,0.31105
18554,Salatrucu,0.24909,0.23215,0.31111,0.34384,0.33998,0.31982,0.30505,0.25554,0.25357,0.24672,0.20253,0.17833,0.20019,0.18458
18858,Stoenesti,0.27792,0.29663,0.33975,0.33918,0.32886,0.31638,0.33942,0.34785,0.39903,0.39669,0.36566,0.30927,0.31655,0.30011
19212,Teiu,0.13031,0.14634,0.17121,0.13044,0.16797,0.22723,0.24016,0.22171,0.22825,0.2764,0.24297,0.24707,0.22841,0.19763
19392,Uda,0.26686,0.27568,0.21397,0.26074,0.20277,0.25403,0.25547,0.19854,0.24335,0.27078,0.25346,0.23197,0.22149,0.24128
20048,Raca,0.0,0.09905,0.08764,0.14894,0.20727,0.13517,0.22234,0.24141,0.20711,0.24316,0.24323,0.20756,0.22033,0.15236
20297,Municipiul Bacau,0.69754,0.6911,0.70066,0.69568,0.6869,0.67749,0.66354,0.65927,0.65294,0.64019,0.63939,0.63207,0.61997,0.61814
20313,Hemeius,0.50446,0.48063,0.47791,0.49108,0.49268,0.47472,0.48531,0.42339,0.4318,0.40212,0.4288,0.44676,0.4429,0.43335
20563,Municipiul Onesti,0.60982,0.63288,0.63007,0.63872,0.63686,0.64086,0.64464,0.64273,0.65216,0.64694,0.64808,0.60684,0.60594,0.59782
20778,Oras Buhusi,0.49373,0.50084,0.52417,0.52966,0.51155,0.51004,0.52909,0.5132,0.48955,0.47922,0.47449,0.46444,0.47485,0.47902
20821,Oras Comanesti,0.54662,0.51771,0.54807,0.53035,0.52242,0.51442,0.49679,0.49942,0.50442,0.51481,0.52829,0.52351,0.51134,0.51206
20910,Oras Slanic-Moldova,0.35917,0.38226,0.4141,0.42179,0.3914,0.39787,0.39324,0.37017,0.37626,0.371,0.35396,0.31278,0.35816,0.35458
21454,Barsanesti,0.21522,0.26052,0.28817,0.29267,0.25048,0.27169,0.28213,0.25483,0.28083,0.29552,0.28451,0.26698,0.31004,0.26583
21506,Blagesti,0.15797,0.18145,0.35655,0.38214,0.20079,0.21473,0.21831,0.18934,0.17705,0.20843,0.2315,0.23091,0.17577,0.14416
21668,Buhoci,0.33394,0.35396,0.31045,0.31259,0.35963,0.34277,0.3581,0.39022,0.43642,0.43132,0.4306,0.44294,0.21946,0.18167
22111,Damienesti,0.10645,0.14634,0.22988,0.15446,0.12818,0.0901,0.16025,0.16698,0.16687,0.11853,0.13576,0.14805,0.1489,0.13341
24089,Parincea,0.21684,0.15922,0.17565,0.17422,0.21283,0.18906,0.15529,0.17227,0.12851,0.15978,0.15252,0.18156,0.17257,0.16763
24276,Pargaresti,0.23953,0.26126,0.22089,0.2181,0.21058,0.21957,0.20197,0.21597,0.20933,0.22753,0.24372,0.2543,0.21633,0.20835
24427,Plopana,0.26314,0.25875,0.22867,0.25491,0.2931,0.29556,0.27409,0.25514,0.23457,0.22779,0.22769,0.24827,0.21593,0.24033
25745,Tatarasti,0.07015,0.08243,0.13383,0.1494,0.14181,0.14034,0.13985,0.1318,0.10278,0.03816,0.06637,0.11269,0.0,0.07218
25825,Targu Trotus,0.27593,0.23224,0.24554,0.23427,0.22731,0.2319,0.22789,0.23101,0.2313,0.24599,0.2509,0.25454,0.26189,0.24029
26083,Valea Seaca,0.27162,0.2875,0.28378,0.29011,0.29587,0.32944,0.31494,0.30864,0.314,0.29091,0.2766,0.28278,0.27354,0.2651
26346,Gioseni,0.19104,0.23608,0.2127,0.23059,0.22507,0.23092,0.25872,0.26005,0.24934,0.28594,0.31338,0.27959,0.28313,0.24928
26353,Odobesti,0.2408,0.21365,0.20121,0.19848,0.19754,0.16263,0.16751,0.21461,0.19782,0.20303,0.21604,0.17903,0.15317,0.18071
26361,Prajesti,0.2557,0.23639,0.28711,0.31983,0.30894,0.28973,0.31571,0.278,0.236,0.20677,0.17924,0.18409,0.17423,0.1714
26804,Municipiul Beius,0.58551,0.58623,0.59212,0.59197,0.58844,0.57374,0.57088,0.59944,0.61165,0.61497,0.61742,0.59798,0.58902,0.58231
26920,Oras Nucet,0.23472,0.26362,0.34103,0.39627,0.34648,0.34797,0.38455,0.33628,0.32161,0.32172,0.344,0.30393,0.34541,0.30706
26975,Municipiul Salonta,0.58909,0.60402,0.59879,0.60092,0.58505,0.57384,0.56044,0.54523,0.55454,0.54889,0.56285,0.57206,0.55968,0.53959
27560,Borod,0.37251,0.36432,0.36373,0.39105,0.38363,0.38684,0.37822,0.3819,0.38629,0.37276,0.35746,0.34849,0.32332,0.34029
28335,Ceica,0.31483,0.31082,0.28303,0.25103,0.30651,0.34987,0.33561,0.33769,0.38665,0.41361,0.41689,0.42073,0.43664,0.31792
28497,Cherechiu,0.30649,0.28975,0.30839,0.29384,0.27202,0.29698,0.27867,0.27306,0.32207,0.27766,0.2831,0.28762,0.29637,0.25546
29902,Lugasu De Jos,0.44115,0.44464,0.47341,0.47532,0.45441,0.46414,0.44621,0.46408,0.45515,0.45775,0.47248,0.4206,0.39758,0.38582
30069,Magesti,0.32794,0.35857,0.36904,0.36967,0.40166,0.40747,0.3822,0.3797,0.39454,0.39574,0.41277,0.40707,0.39468,0.38334
30844,Rosia,0.3364,0.35406,0.37061,0.31617,0.34073,0.34183,0.34458,0.33608,0.33309,0.33357,0.3338,0.31412,0.29987,0.32501
31011,Salard,0.45423,0.45251,0.46175,0.44833,0.45976,0.41796,0.44087,0.44166,0.44845,0.47538,0.44105,0.43047,0.41349,0.41257
31510,Suncuius,0.37892,0.36047,0.34853,0.35298,0.31946,0.27545,0.30899,0.31546,0.3506,0.34659,0.37527,0.3121,0.32774,0.33369
31878,Tetchea,0.28583,0.24095,0.36502,0.36348,0.3256,0.2987,0.26573,0.31655,0.34065,0.36914,0.36051,0.34038,0.28772,0.30545
32153,Tamaseu,0.39772,0.42863,0.42231,0.42846,0.44826,0.45515,0.41275,0.41819,0.407,0.42218,0.41729,0.40619,0.41986,0.40588
32187,Rosiori,0.37539,0.39195,0.42392,0.37289,0.39624,0.41069,0.40347,0.37713,0.3363,0.31925,0.33987,0.36295,0.36332,0.35153
