Indicativ,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
cl,2.452418630187433,1.4795968326090845,0.09021788141162278,-0.767076067758271,0.5317965981096944,1.0383387684196645,-0.44313959602227915,-0.21003538891565296,-0.17336077609560324,-1.1779000743266343,1.4970235989752552,0.2836886159354634,-0.023826063672422976,-1.4404314733141859,0.19980134074264075,-1.2633014376869252,0.0
cs,0.11740728257023282,0.9281055119967536,-1.2126345030586074,1.255566726906079,0.44809966635064413,-0.11648868809827673,-0.22135273522861007,0.2567673046056235,1.9191545512849881,-0.10746235213948406,-0.3967494330144911,-1.365961766908022,2.8125338582151462,-1.1502861176314552,0.3972586010880431,-0.2108336801103639,0.0
cj,-0.7467368636383148,-0.7988512062385728,-2.2706085802079836,-0.6729546456839335,-0.16340505835342709,-0.6004599429789772,-0.2944455952844283,0.24223332348984258,-0.149259229507928,1.1685762971189768,-0.45420117437310714,0.3712873505668422,-0.5316561138902706,0.13049120533596323,-0.016355099419844754,-0.5020495040281348,0.0
ct,0.22955699227548892,-1.203529167080947,-0.42079040819084823,0.8593676176237514,-0.5930968379913014,0.4018882472708369,-1.9421300283536094,0.48534168292448726,0.12387988304648577,0.1655166124190946,-0.6640723818897022,-0.4251765708093534,-0.09684198684617168,0.30262942732719056,-0.08726838460878249,1.1110400760058017,0.0
cv,0.026962096496087568,-0.6937332855970796,1.584946862643175,-0.22778275984316226,0.8413321510536432,-1.5114369116396362,1.371774581892427,-0.2087850692964487,-0.05449414014298428,-0.1530411357136371,-0.10574950269795697,-0.6074779520890901,-0.36754234020969695,-0.9653436475690113,0.3836371228626625,-0.4049962434069127,0.0
db,3.1382577213448664,0.3840019910665475,-1.0315577391955466,-0.062014592885996124,-0.6616203420329904,-1.6704535535227485,0.2585496102833107,-0.717600088737959,0.08207584910570018,-0.08056947725584397,-0.362041513231239,-0.22764226364442477,-0.5124837896641401,0.16202732769225325,-0.13730120491335826,-0.6625700262275859,0.0
dj,-0.9216757117434353,1.9281102873664446,-0.8645336096513226,1.2645118787287422,-0.017566283587094295,-0.03550174446849996,-0.10162300902111038,1.140331345585499,0.33866434808489404,-0.9545809714553352,0.5826588024735826,0.020385764527508687,-0.37966262203605183,-0.10029716192725874,-0.3827529713941187,-1.5322921601567379,0.0
gl,-0.08687080929116975,-1.0940617215818988,1.6104085978541287,1.9843084600794532,-0.5512559120850664,-0.5443619314233266,1.4996646535979685,-0.15624153956701856,-0.2011367052438637,-0.10213666285939053,1.1117388265405062,-0.2972731944131962,-0.5604134202517562,1.5003702878991096,-0.03431261588405049,0.24840026281821986,0.0
gr,-0.6114685432769127,1.588722721630197,-0.1161383096957737,-0.16294550719689477,-0.7904217490773574,-0.4999672793349475,-0.18472638258020738,-0.13758371725113078,-1.2706042849960104,0.2988740284194213,0.9019669602018683,1.2506614054114449,-0.016794698572246584,0.3537687669662079,-0.5934416100806684,1.7389819341304602,0.0
gj,0.015839253384841774,0.9750717022729422,0.10631381116628777,-1.4199592460288029,-0.6999119857169572,-0.9617101550265493,-0.055837587520175584,1.2348740691212858,-0.5657069123112083,-0.5178400483726391,-0.6487718482373249,-0.7840387070218627,-0.8365834730042022,0.49981675430858585,0.3501150492571906,-1.8698389821342267,0.0
hr,-0.5554273750828744,-0.8969929841455125,2.3569567444192323,0.060116072431934106,-0.07236879158468461,0.10953934362195455,-0.3707880546373993,1.4689154059473304,0.07988896513920105,0.02024992276740579,-0.8541197943401134,0.7345390555316101,0.4423169891504047,-2.1720398207247786,-0.3041846973287791,-0.506361816889306,0.0
hd,0.6948807308088225,-0.20729771139227648,0.36830515577420664,2.6332634518836673,-0.09476661888998036,-0.24984541114861356,1.4125046424410963,-0.1327196684389178,-2.0057602108176273,1.2339167296102083,0.07857561903975722,-1.3904281304775918,-0.38459498525997077,-0.4970494464023886,-1.089110372996727,-1.4682062335468649,0.0
il,-0.12040604506459313,1.2073337702669469,0.2335355058513125,-1.7610202575945806,0.03350504817056144,-1.074244563327773,0.04479854688359127,0.12432088740656569,1.056593189363086,1.2001458023573237,-0.06515772260831787,-1.343519234873647,-0.3101203307757586,-0.5836757888733078,-0.06394637573207546,1.0306909414531984,0.0
is,-0.07264899132506385,-1.4161132724555783,1.4618766181471856,-0.3492196393029911,-0.19721617442513345,-0.6373935773933842,-1.7372807137262243,-1.3998522683006827,-0.5689815301096323,-0.11211833134244308,0.8710081569018921,-0.9791333122328376,1.2577226671041026,-0.23091470270490208,-0.7091282631197751,0.33423527002046394,0.0
if,-0.7618585108912358,-1.7789168493461471,-1.205789986497231,-0.23157102303765337,0.0562751244846536,-0.48440250959951703,-0.5928314315122014,-0.3434282523139846,-1.5391211920217927,-1.4129171447391298,-0.5498384914470992,-0.7491067764144946,-0.45718073079461663,-0.10211489617779389,-0.6347973862741626,0.17639805199311007,0.0
mm,-0.2181032338526182,-0.09449424608740545,-0.767865520770862,-0.7221719617857764,-0.1982627766677156,-0.7327965648841352,0.16391421759229916,-0.05305479397604731,1.9541920002647593,-0.9248946678213831,0.1694571343120822,0.9013667937863764,-0.23528126411988662,1.4756496885353962,0.046713594666255506,-0.10984643386886409,0.0
mh,-1.0149997877382504,0.8573131982330663,-0.6761322867634069,0.8852293514634682,0.2672145093922155,0.6378205742104347,0.0512619129134053,-0.18325907447150744,-0.0728347399279783,-0.012318543481634069,-1.3261672724015083,-0.3375278482569932,-0.49828195499774236,0.06498799340331525,0.7996496928690494,1.4971287575431915,0.0
b,-0.6058567916761035,-0.26321311963242044,-1.5452727960900892,-0.5072164755529665,0.29704650963715384,0.05299131906382487,0.4902810968268608,-3.1053936441990224,-0.4860349247510396,0.287722181777413,-0.5560610622224342,-0.6869204196233482,0.5436807160711286,-0.042482790219650284,-0.2751298770329694,-0.4014564177642987,0.0
ms,0.1306382220576616,-0.6767136831101307,0.14994624091792452,-0.052744312659127914,-0.2513713960200233,2.1726487902581573,0.8901990216574863,-1.1121311904262494,0.6388220190482343,0.6497183291845999,0.5164148576138956,1.367775011997042,0.026511168434308032,-1.2646388614701538,-0.9536796957824301,-1.2602652471396756,0.0
nt,1.3363943518238794,-0.20414783480368498,1.2005312993018529,1.1470832316770712,-0.8079024074949698,0.7840240611748898,-1.0862441902257105,-0.2785130213529244,1.051143223368692,0.36223413896381906,-1.2984411225648291,0.14264849720668793,-0.1456691010100357,1.0408657992537176,0.5929464067557698,0.5542613574865987,0.0
ot,-1.0328730291048829,1.6818166010255284,0.4934889439239173,1.3722523797188675,0.14937092515762154,1.4933840983389044,-0.7319614114955637,-0.12168532316103406,-0.8974870051614005,-1.2028796652884575,-0.527369501031361,-0.6100748857266971,-0.37595787853732243,-0.21111388619268148,-0.31256025583361563,0.4009444290679283,0.0
ph,0.6235082903000471,-0.5049755985061861,-0.7325496166507287,-0.6100494563174754,-0.5320505223558797,0.9849395551765927,1.1460526417027288,-0.08829603678964945,-0.6253344757078598,-0.002156081222088504,1.0750673625700167,-0.8683461983770826,-0.5292164278893906,1.5547786353485735,0.10195928404156838,1.3842395782577768,0.0
sj,-0.7139424119159644,0.490892257114838,0.7863148039377407,-0.4682013998293694,0.44838293152082975,-1.1316340675804417,1.6105798296746487,-0.13877783113166478,0.8922625905539702,0.6080991087491305,-0.5644840147023992,-0.10684854122016157,-0.675296346884624,-0.33090932113954163,-0.644359599982778,0.25065707390633096,0.0
sm,-0.8555330152432004,-0.3544686382707922,-0.40740659884545954,0.5848133476198741,0.2869531264996955,0.8508118042818978,0.7842079898101401,-0.08310996141432399,2.495421183596347,-0.17624569123671208,-0.3750541912118754,-0.3473314293568927,-0.2517811111663158,0.41371453705150296,0.0354659519581205,-1.359965549741246,0.0
sb,-0.9247018977125351,-1.3027008455758011,-0.14611571452375502,-0.5265310794402348,-0.36737513660737386,1.881547809655544,0.00040482602292958364,0.2093830603791889,-0.4156437949020926,-0.6392859391890299,0.9739692114366124,-0.3073667020933143,0.10165531439533661,-0.5494330529935343,-0.5089011583940425,0.16955711294338272,0.0
