Code,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
NLD,0.06008811165758989,0.7904237354198644,0.004234724138142022,0.025454892693183354,0.0030662424493085685,0.023467365685640725,0.0027369442460763956,0.006731717801647839,0.01991734528371035,0.050913225471837686,0.00804797565253243,0.004917719500466598
NOR,0.6765260863214131,0.1273377095869305,0.01205711390576713,0.0409177415692667,0.029086452987534345,0.041181505022186024,0.06714393286734206,0.004461753819513762,0.0005615718194006713,1.910307074852217e-06,0.0005746872830454398,0.0001495345105252663
POL,0.29972473620998236,0.18705479698500485,0.033983618823153865,0.1436056271489466,0.26442777940581974,0.013674580072138476,2.353746440592616e-08,0.04776787309061554,0.009007955224764127,0.0007454254455689443,5.990414081581522e-06,1.5936424595105722e-06
PRT,0.459566610657943,0.38236166095064184,0.015799682871356253,0.0006293694891504705,0.0045228375064984986,0.0619224272372705,0.01809979961510549,4.30015807584063e-06,0.021482695081774913,0.00023122999686815153,0.03534051517469073,3.887126062428915e-05
ROU,0.35270594937123134,0.09202934987107961,0.22095115293679854,0.05705955459301616,0.009265240966542859,0.11969817896561982,0.03719237979867784,0.03843369194575321,0.0157304744377119,0.004210143532250694,0.05177441244247041,0.0009494711388477638
RUS,0.17843415637359558,0.5256328409215177,0.03172991169552395,0.027282989872582927,0.06704658995092234,0.11189159122435033,0.02264106540107651,0.01995402785723604,0.013419552165663819,0.001145743273364017,0.0008214943013892185,3.696277754061925e-08
SRB,0.029809290596122424,0.414510972351036,0.43876756022687186,0.027403267760414712,0.05552642031425853,0.009513968016585368,0.00039490170408668036,0.012641847163222905,0.008448974740314946,0.00011480327237914192,0.0028328415789867878,3.51522757204628e-05
SVK,0.06451597864594362,0.32156728647411104,0.0002748553297286196,0.26348998721756506,0.23574871429974284,0.00519657175363267,0.01954280776815229,0.02292200016468704,0.007415965108837881,0.014919044219564827,0.043920013105541465,0.00048677591249265257
SVN,0.1292789794073854,0.244599485052039,0.00797560862920074,0.3847173522152331,0.018907810351076578,0.0035180193029756435,0.03736835970783311,0.018835507633003415,0.1482720606412617,0.005152288791809587,0.0008733458303865919,0.0005011824377954073
ESP,0.12666922480540216,0.19934954242221403,0.12803949552307942,0.08092133478802856,0.10081871893547717,0.25452899600283885,0.017643985699001302,0.050290594782539784,0.010242313218240229,0.02233990142634027,0.00915589072830404,1.6685338603424175e-09
SWE,0.4160064424327337,0.021413590145148376,0.12519471555008438,0.3751232328048903,0.01669192424408013,0.0004464549790242675,0.025671026232924644,0.003852155605098613,0.005212714337214055,0.009574007969735199,0.0005115040162919772,0.0003022316827740511
CHE,0.027531644396153306,0.5996913786989445,0.1302269070118045,0.019138061826880343,0.019806292792138733,5.2384223590889e-07,0.13176607071185945,0.024632070661453943,0.01412640472876098,0.030019087451515318,0.003059344841853171,2.2130364002662387e-06
UKR,0.023254709792084344,0.6359265123554114,0.006065864029771032,0.01809041170280125,0.22522014848289607,0.022910077540248246,0.004754675026271636,0.011370923668110922,0.014713505604871646,0.032304113067248334,0.0034700774308184614,0.00191898129946664
