No.,Z1,Z2
32,-1.6615651462048489,0.6756735250446164
44,-0.8023708101815543,1.5553116162895195
41,-2.358035527429641,1.2666536561672328
175,-1.915194369164889,0.13090496340494667
106,2.1156190274518796,-0.04343455281979036
162,0.28160090855167796,-1.552532733174557
136,0.4765001942620226,-0.9817037764029157
217,-2.3887336990257713,-0.2831540024318949
220,-1.8677917604556473,-0.4983374190840875
202,-1.5962986696470096,0.7156813686540964
76,1.210650949678583,0.8520507076300341
19,-0.4363869181635522,1.0081692877816395
79,2.791855850732639,0.4253856227478594
148,2.812002843917707,-1.1809779020155335
99,0.402016585196395,-0.25097952690535075
226,-1.2076171190305045,-0.5404058495338988
147,3.0521783782551117,2.872512678513913
178,-2.116346515333245,-0.18455249958710318
219,-1.173799662166234,0.38819604269904195
165,-1.1618603686177373,-0.3091447722086388
33,-1.337106297821485,0.17222645785270563
5,-1.344011590224392,0.0780919158266079
182,-1.810583231557579,0.4929391288976285
25,-0.7775351997131934,1.4851873650748444
100,0.3940018260170053,1.0555449877308463
18,-1.8234523656749542,0.057800276026509056
197,-1.1038887652115652,-0.8068598975695932
204,-1.7065035479156505,-1.0785184440084061
96,1.6354693550878303,-0.07438811035719473
171,-1.0356870194855736,-1.487784023625046
137,2.0834650904128704,-2.166456750847943
42,-1.4308672237716844,1.7320051221964126
21,-2.659109371892803,2.200111088429551
74,2.283923836695563,-0.18527875733904797
85,3.2814032374614746,1.0502724037908888
31,-2.065047511835033,0.8013875994794317
185,-1.7394887848538971,-2.1842771221293384
60,4.001619708413927,-0.03066325212660903
131,2.3155528541831565,-0.09364138493339624
12,-1.2875167683717903,1.2624636057379983
149,3.683902832172827,-1.7661157463445996
159,-1.1994115817563615,-1.9588797463805427
195,-2.209491273096206,0.27327691200234094
184,-1.888808231109139,0.5279208522416896
61,0.8838596893501081,-0.1327825316863925
97,1.3166312192910712,1.145773944632622
87,1.8285207830830994,-1.4002039373971817
20,-2.0228598694560875,0.40990805298606914
128,2.6779979708854476,0.547287907438175
146,3.8203040407878532,0.433442302954699
117,2.1420442034345606,0.8857442703018478
64,1.7096316936600064,-2.615727839832095
222,-2.0737221494764633,-0.7386921799313333
163,-0.8678140185935763,-1.9355722365033134
180,-1.6068330548048035,-0.947293887151553
218,-2.3765131384793454,0.8817070354818722
26,-1.721770392491403,1.1431113210540398
177,-2.0234541898962815,-0.6729642667230179
111,2.9212316791938266,-1.5257606596068298
132,1.436882370775339,2.2399135242661834
47,0.8819513409592064,-1.114611705610839
203,-1.506854961745745,0.11042796272666061
59,4.846655661306704,1.4068541050521488
231,-1.8769303633440573,0.22756468921059947
232,-1.8005452330357505,1.0282918088678383
126,1.2866500608034837,-2.1959257637503553
7,-1.232537831833639,0.12825638808096934
55,0.7229224117854923,-0.7640295088553674
50,0.6300029240128778,-0.7831527327140615
216,-0.3731766868814104,-0.9007967506633857
72,3.5336584003840414,-1.7722271194459136
67,-0.18850827426774602,-0.29587491426225315
190,-0.8650340253373581,-1.0242457229584043
94,2.721711246158473,0.03744603696850235
188,-0.7393274259538085,-0.8175464016613856
105,1.8387133272630825,0.4163508889327896
193,-1.216314905689806,-0.6207866525314683
150,-1.5037353987657764,-0.8905036399439157
11,-1.528359417747174,0.8130518853502922
77,0.7055192510262043,0.5508759756205778
10,-2.593512612185819,2.0917249855675424
155,-1.566797407028404,-1.007604434736482
39,-2.2973233745551913,0.9991385049030633
101,2.303568649453034,1.2226114966429238
116,0.26875338686112515,-0.4117939667875634
158,-2.118878700380183,1.692716229392456
152,-2.043921366715763,-0.8851549674629777
83,2.2511750442598863,-1.1169018780821238
141,0.897535079650372,-1.2252583677484767
98,0.7336017867044617,-0.01070860994208761
121,0.17607883090835388,2.430519155691003
145,1.4902755143954716,-0.7233107054847744
75,1.3709710966660307,0.09788154119634684
118,1.4408528747548444,-0.03508237128877578
104,2.520016952698291,-0.19706638966525758
233,-1.9449124116981469,-0.38000220754014413
119,2.391906858046853,0.7326449962692342
168,-2.4098892210186227,-0.9902534223645167
