County,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another
bz,5.348626856657318,1.4555862548913174,4.188283260427634,-0.0,0.6722948170756379,0.9187596163744738,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.6343095546405662,-0.0,-0.0,-0.0,0.6252624052234231,-0.0,-0.0,-0.0,1.9772538862933913
cj,3.830802998114185,3.676362419014002,4.981952198199482,1.124567353160211,1.146639465705753,1.0315269355878707,0.3227569588973982,-0.0,-0.0,1.1357742370456674,-0.0,-0.0,0.2447650820208972,1.7361346903893065,0.8435578974014085,-0.0,-0.0,-0.0,0.999818246960343,-0.0,-0.0,0.6410678936389669
cl,5.083834190263941,1.9770224202312514,4.585156661559759,-0.0,-0.0,0.817232561426187,0.863120568566631,-0.0,-0.0,-0.0,0.9852281360342515,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9774178175281716,-0.0,1.5766212201074912,2.2441424330717252
cs,5.0389063891061765,2.8292913478075334,4.728877127954603,2.629786340105441,3.0240375457547963,1.0,1.904875005155258,-0.0,2.6120253696688875,2.0882758345325727,0.7871265862012691,1.4103063133202332,1.0,1.4619011889093374,-0.0,3.2706562458966615,-0.0,-0.0,-0.0,-0.0,-0.0,1.2186301635134962
ct,4.167229916980283,2.629508821477049,4.104916682485706,0.7780548313939851,2.1648063334216894,3.5982611071983728,2.150108458386122,3.472849207900354,0.7793498372920851,-0.0,0.5916727785823275,-0.0,0.5622905084785947,1.5102870545213078,-0.0,-0.0,0.9709505944546686,-0.0,0.6575372371306271,-0.0,1.3568577178671446,1.7369259050703458
cv,3.6482082114901506,4.36824236768038,3.469639723412782,0.9182958340544896,1.8456957743872284,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9182958340544896,0.9456603046006401,-0.0,-0.0,-0.0,-0.0,1.6218376822576857,-0.0,-0.0
db,5.945502781446905,2.75671344731622,4.459319238888718,-0.0,0.5032583347756457,2.480738945894106,-0.0,-0.0,0.46626133936052694,-0.0,1.1172826992683786,-0.0,0.783776947484701,2.5316856245580364,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.791507956822058
dj,4.797197227226877,0.9308885145603476,4.9609756225169095,-0.0,-0.0,0.8706913785973591,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9611111038436577,0.3424637724817959,0.9798687566511528,-0.0,-0.0,-0.0,-0.0,0.7793498372920851,0.9273522209529914,0.2226709434512782
gj,5.27237744830723,2.1194798102806987,3.2881489157572257,1.5304930567574826,0.6722948170756379,1.0,-0.0,-0.0,1.5,-0.0,-0.0,-0.0,-0.0,2.1924178467769693,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0800389192781297
gl,3.990404907156705,0.31885541852100957,3.5031067511468548,0.3650551896402848,0.30540057087920036,0.35335933502142136,-0.0,-0.0,0.9852281360342515,-0.0,-0.0,-0.0,-0.0,-0.0,0.49123734182433315,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.8994809564366164
