Siruta,Localitate,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74732,Vartop,0.17889,0.15441,0.10802,0.0992,0.0,0.27232,0.11948,0.14282,0.1524,0.16474,0.21648,0.18406,0.18394,0.21518
74867,Carna,0.0,0.0,0.18993,0.1031,0.12413,0.09439,0.14667,0.14594,0.09033,0.11241,0.1226,0.12407,0.3074,0.28407
74931,Plesoi,0.0,0.0,0.0,0.08822,0.0,0.09917,0.15758,0.19746,0.16429,0.10307,0.13226,0.18206,0.18026,0.21575
74956,Talpas,0.10632,0.10626,0.0,0.10643,0.10805,0.0,0.06118,0.09319,0.0,0.0,0.0,0.12407,0.09917,0.07794
75542,Balabanesti,0.0,0.10786,0.17121,0.10802,0.0,0.10799,0.19897,0.18144,0.13513,0.20303,0.09324,0.10065,0.21681,0.10447
75686,Baneasa,0.0779,0.0,0.0,0.0,0.14033,0.1489,0.11834,0.24029,0.22005,0.23894,0.24812,0.24418,0.22098,0.20193
76638,Jorasti,0.0,0.0,0.06304,0.04537,0.06306,0.07718,0.07122,0.05733,0.06964,0.04804,0.06013,0.09577,0.10378,0.13204
77126,Scanteiesti,0.15726,0.13206,0.0,0.10585,0.18956,0.16023,0.16916,0.16621,0.18741,0.24362,0.28119,0.28834,0.28543,0.26465
77561,Radesti,0.0,0.0,0.0,0.07798,0.06393,0.08761,0.0702,0.07018,0.07794,0.09917,0.14809,0.17976,0.19897,0.18894
77587,Poiana,0.0991,0.0,0.0,0.0,0.0,0.0,0.10799,0.16807,0.23722,0.21294,0.19995,0.18956,0.11472,0.16546
78828,Barbatesti,0.20703,0.22247,0.28068,0.20123,0.24315,0.15344,0.16733,0.15768,0.11145,0.19043,0.13041,0.19661,0.1022,0.0
80427,Godinesti,0.1391,0.10024,0.09324,0.07588,0.13193,0.09917,0.0,0.10797,0.17112,0.09917,0.18904,0.27705,0.19834,0.2222
85467,Sacel,0.0779,0.0,0.1644,0.07798,0.0,0.0,0.0,0.0,0.16038,0.12493,0.0612,0.08073,0.0,0.10797
88216,Batrana,0.27042,0.26919,0.2803,0.28331,0.2852,0.28874,0.29111,0.29867,0.30519,0.30992,0.0,0.10799,0.10799,0.10797
88920,Bulzestii De Sus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89026,Bunila,0.0,0.0,0.0,0.10802,0.10805,0.0,0.0,0.0,0.0,0.10799,0.10802,0.0,0.0,0.09915
89080,Burjuc,0.0,0.0,0.0,0.0992,0.0,0.09917,0.08761,0.0,0.08759,0.13517,0.14568,0.10677,0.10604,0.10602
89151,Cerbal,0.0,0.0,0.0,0.10488,0.14286,0.19897,0.19897,0.15754,0.09915,0.18202,0.18933,0.1933,0.16965,0.21153
90066,Lelese,0.0991,0.0,0.0,0.0,0.0,0.0,0.0587,0.06388,0.07794,0.0639,0.10802,0.0,0.0,0.0
91447,Tomesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20756,0.21604,0.17117,0.16199,0.16195
96664,Cucuteni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10799,0.17112
96717,Dagata,0.17104,0.10786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16436,0.19897,0.23274
97553,Ipatele,0.0991,0.15627,0.07798,0.10558,0.10259,0.13312,0.05435,0.0,0.08414,0.1071,0.13027,0.07326,0.14432,0.13555
97777,Madarjac,0.0991,0.10472,0.0992,0.0,0.09922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98202,Mosna,0.13213,0.12477,0.05872,0.0,0.13405,0.18861,0.17916,0.15726,0.13612,0.16217,0.15174,0.09899,0.19688,0.19377
100282,Costesti,0.0,0.0,0.0,0.10157,0.07023,0.0978,0.12313,0.11238,0.09348,0.04469,0.09353,0.05065,0.21388,0.17398
100308,Draguseni,0.0,0.0,0.0,0.0992,0.09922,0.10799,0.10799,0.10797,0.10797,0.0,0.0,0.10799,0.20717,0.21056
100317,Fantanele,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12404,0.0,0.0,0.0,0.10799,0.14309,0.18466
100344,Roscani,0.103,0.10626,0.15507,0.13994,0.20791,0.18623,0.15623,0.08251,0.10797,0.0,0.0,0.0,0.0,0.09915
101243,Brazii,0.0,0.05428,0.0447,0.01858,0.06638,0.05207,0.06025,0.06158,0.03371,0.05836,0.07513,0.07644,0.09863,0.04008
101519,Bulbucata,0.0,0.10786,0.0992,0.08255,0.14979,0.03816,0.03093,0.09473,0.16794,0.19577,0.19399,0.27346,0.3079,0.33312
103568,Gurbanesti,0.0321,0.02537,0.0,0.02068,0.01937,0.0,0.056,0.07512,0.04716,0.10601,0.09138,0.10017,0.11951,0.19242
104975,Schitu,0.0,0.0,0.11374,0.07853,0.17928,0.22309,0.25851,0.23546,0.2426,0.19761,0.24667,0.22652,0.28629,0.30497
107190,Basesti,0.16187,0.07011,0.10802,0.0,0.23113,0.28193,0.19978,0.23793,0.26009,0.27624,0.27014,0.26584,0.19103,0.27225
107234,Bicaz,0.0779,0.0875,0.0,0.0,0.09922,0.09917,0.0,0.10483,0.16432,0.17117,0.21067,0.21328,0.24826,0.24628
108366,Oarta De Jos,0.11452,0.18875,0.16203,0.10802,0.0,0.0,0.0,0.16408,0.28146,0.22532,0.24901,0.22471,0.29862,0.29525
110571,Bacles,0.13213,0.09905,0.19606,0.12519,0.0,0.09917,0.04009,0.0,0.07637,0.1153,0.10541,0.17124,0.20421,0.20684
110688,Balvanesti,0.0,0.05058,0.12496,0.06391,0.14959,0.14805,0.16528,0.20164,0.20742,0.18928,0.21183,0.12407,0.16436,0.09915
111220,Ciresu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10802,0.0,0.10799,0.13513
111417,Corlatel,0.0,0.09905,0.08764,0.17121,0.10805,0.09917,0.09917,0.17112,0.17112,0.17117,0.1798,0.15623,0.12367,0.05064
111587,Dumbrava,0.27042,0.0,0.0,0.0,0.2852,0.0,0.0,0.08759,0.0,0.0,0.0,0.0,0.0,0.0
111818,Godeanu,0.0,0.0,0.0,0.0,0.04749,0.03942,0.0,0.0,0.0,0.0,0.0,0.10799,0.10799,0.16195
111916,Greci,0.13213,0.0,0.21604,0.18207,0.18605,0.18596,0.19834,0.20066,0.247,0.18108,0.23218,0.2078,0.2078,0.18103
111989,Grozesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10738,0.10582,0.09917,0.15176
112600,Livezile,0.0,0.08243,0.0802,0.10565,0.06917,0.06914,0.11429,0.12718,0.15695,0.12347,0.15496,0.19361,0.11028,0.13395
112771,Oprisor,0.1734,0.1593,0.16996,0.18031,0.14033,0.10799,0.08253,0.0,0.15754,0.09917,0.14601,0.26068,0.24707,0.21837
112806,Padina,0.0,0.0,0.07798,0.1241,0.1323,0.14026,0.19017,0.2291,0.21434,0.19897,0.16203,0.21177,0.25437,0.30688
112959,Podeni,0.0,0.0,0.0,0.0992,0.0,0.08761,0.1064,0.10483,0.08759,0.08761,0.10802,0.16199,0.16199,0.2075
113153,Poroina Mare,0.0,0.0,0.2803,0.0,0.0,0.0,0.0,0.02616,0.06598,0.05044,0.14809,0.09917,0.17117,0.10797
113395,Punghina,0.0,0.0,0.0,0.14894,0.14033,0.17117,0.10799,0.1065,0.12404,0.1064,0.13226,0.10653,0.0587,0.15176
113518,Stangaceaua,0.17104,0.0,0.0992,0.07798,0.08766,0.07796,0.10799,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113732,Tamna,0.16423,0.22206,0.19902,0.1644,0.16444,0.20717,0.17117,0.08759,0.07794,0.0,0.0,0.0702,0.18899,0.24141
113894,Vanjulet,0.0,0.0,0.08764,0.1352,0.08766,0.0,0.0,0.0,0.08759,0.08761,0.10488,0.2328,0.15646,0.10797
113974,Voloiac,0.15319,0.15738,0.14701,0.10643,0.09922,0.09321,0.0639,0.04008,0.0,0.0,0.0,0.0,0.0587,0.0
114060,Branistea,0.0,0.09905,0.16203,0.0992,0.0,0.14805,0.12407,0.16722,0.26551,0.26999,0.18933,0.14698,0.16687,0.1176
114079,Vrata,0.0,0.0,0.0,0.0,0.078,0.0,0.12838,0.16432,0.20575,0.26801,0.29441,0.24147,0.16199,0.16195
115600,Bala,0.10478,0.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10799,0.10802,0.10799,0.1064,0.107
116224,Cozma,0.0,0.10786,0.08764,0.07798,0.10805,0.10799,0.10799,0.10797,0.10797,0.0,0.0,0.10799,0.09917,0.10797
116340,Craiesti,0.02692,0.01611,0.0,0.00848,0.02741,0.03045,0.03256,0.04481,0.05385,0.04399,0.03327,0.03887,0.04606,0.04339
118511,Neaua,0.0779,0.0,0.0,0.0,0.0,0.0,0.04469,0.08818,0.14882,0.14805,0.0,0.0,0.0,0.0
118637,Papiu Ilarian,0.08755,0.0875,0.0,0.0,0.0,0.07796,0.08761,0.09915,0.09319,0.08253,0.09324,0.16199,0.20717,0.24293
119858,Taureni,0.11535,0.08209,0.09196,0.0,0.04011,0.03276,0.03093,0.03909,0.07446,0.13708,0.13916,0.14511,0.15268,0.08414
120174,Vetca,0.0,0.0,0.10488,0.14601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10799,0.09915
