County,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another
bz,0.39155248545698673,0.6346584657186259,0.39257242482903765,0.74937779411149,0.6773410186806973,0.6667131910617333,0.7493882525888779,0.5,0.5,0.5,0.5,0.5,0.5,0.6773536232760569,0.5,0.5,0.5,0.8310771085430362,0.5,0.5,0.749376051060306,0.6838109062486917
cj,0.20755433901911527,0.2235402495245841,0.44195160080200446,0.417109001713133,0.3658651809663534,0.43447522846191167,0.47767750798209274,0.5364709971410073,0.5364800728371099,0.46629990264399235,0.5364767725484527,0.5,0.5032207258476322,0.35830627604749715,0.39914294827025704,0.536469347047434,0.5364817229966657,0.5364726472447314,0.5054731418464259,0.5364742973586066,0.5364668719261066,0.4650222356749254
cl,0.462851970664734,0.6472790257869528,0.48321703321776877,0.9808655392390749,0.7999321408501477,0.6975999050751104,0.7203022613047566,0.9881355033663789,0.49999999999999994,0.49999999999999994,0.7776250172297404,0.49999999999999994,0.7999180049762495,0.7999321408501477,0.9682164378236054,0.49999999999999994,0.49999999999999994,0.7999180049762495,0.7862340994800853,0.49999999999999994,0.6980298456818486,0.63994344291269
cs,0.45413067294285114,0.4191595249271074,0.3958791149858087,0.7488147991803683,0.45153914497779796,0.6815070888694993,0.6068169016158664,0.5,0.830072322481789,0.6347862080635469,0.6815146160076576,0.9251933537361915,0.6814870173139296,0.6480310148299782,0.7614960937212367,0.7535984003053391,0.7614428291113378,0.761440025917227,0.5,0.7614428291113378,0.5,0.769125034151066
ct,0.2690980175003892,0.3063240820011715,0.3747796774277459,0.502994630702429,0.3543412268968269,0.38060450573018184,0.6819192424780784,0.2995548367069037,0.5363155724473455,0.5933200253799399,0.5862366024479202,0.5933200253799399,0.5206411754830563,0.4745535421731423,0.5933456296031095,0.5,0.5796587685299875,0.5933238184587503,0.5124937544855752,0.5933456296031095,0.4698080093393381,0.362513498596146
cv,0.5172071865215642,0.5301142631139613,0.6974484178569245,0.6891410922639474,0.5255497637125233,0.7373607141631575,0.7373607141631575,0.5,0.5,0.5,0.7373534847467265,0.5,0.5,0.6891309569915142,0.689137713806678,0.5,0.7373570994372218,0.5,0.7373534847467265,0.6158595493220214,0.5,0.7373896332465596
db,0.5624857347556591,0.6859006666143102,0.5794771004882417,0.8527584413506161,0.8172172712815435,0.7607339258672459,0.852756735564219,0.49999999999999994,0.9318284680314768,0.49999999999999994,0.823951189885723,0.49999999999999994,0.836319918704066,0.7351963912421609,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.9898345158393127,0.49999999999999994,0.6651354303801014
dj,0.5157870866180667,0.5684880239452581,0.5355100142560427,0.6048228818381164,0.6048644510190349,0.5906140565387855,0.6048170819415365,0.5,0.6048982906174175,0.6048132154056136,0.6048702518241468,0.5,0.5731989578171706,0.594135698873172,0.5974742542400786,0.5,0.6048141820349595,0.5,0.5,0.5954219701958178,0.8357557208044634,0.5936092040763469
gj,0.5197525367120011,0.599081918109287,0.532017877880128,0.6984184466876242,0.7093870396406594,0.7093632936006793,0.7638939184151667,0.5000000000000001,0.6977483741977498,0.7638915938359665,0.5000000000000001,0.5000000000000001,0.7638939184151667,0.6774285827320394,0.5000000000000001,0.9454916162015765,0.5000000000000001,0.7638915938359665,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.6946941707092902
gl,0.6424992342466975,0.4848669317700989,0.6991230978775558,0.48167054475500193,0.4881092170331315,0.5287123259239155,0.5427906438258274,0.5426043508279024,0.5622854543080746,0.5,0.5426065162907268,0.5,0.5427657251440627,0.5426541608461385,0.48168304087265235,0.5,0.5426043508279024,0.9390356084566341,0.542632503192848,0.5,0.5426075990286204,0.4369518442554588
gr,0.3934635426825397,0.7565197935509315,0.4005995829911091,0.49999999999999994,0.7705261162195467,0.7660055368045812,0.793977127950009,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.7939711068137869,0.49999999999999994,0.7939680962799215,0.7939680962799215,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.7939831491775556,0.7939680962799215,0.49999999999999994,0.49999999999999994,0.7644089650726232
hd,0.2492394840556993,0.32335952123448025,0.308125594982858,0.5131626978762117,0.27526574614634564,0.6616772559173478,0.7114098739244668,0.5,0.6591965205448095,0.5372401987093558,0.717152449259881,0.5,0.7604585503825493,0.3782967796412042,0.5212844970113188,0.7123890766753905,0.5515729930953618,0.5902261394524396,0.5,0.717154273244502,0.8603899406899499,0.4372947050709774
