Code,Localitate,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another
65147,Dalnic,0.8438818565400844,98.41772151898734,0.7383966244725738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65154,Estelnic,0.7765314926660914,99.2234685073339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65342,Municipiul Targoviste,95.17257304301762,0.07063202075494764,3.6321158365140382,0.016299697097295607,0.032599394194591215,0.02309123755450211,0.014941389005854308,0.0,0.014941389005854308,0.0,0.8991999565341411,0.0,0.031241086103149917,0.01901631328017821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07334863693783024
65379,Aninoasa,99.85410925595721,0.0,0.0648403306856865,0.0,0.0,0.08105041335710812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65413,Doicesti,99.8651988317232,0.0,0.13480116827679173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65431,Razvad,99.52629661119883,0.060731203692457186,0.15790112960038868,0.0,0.0,0.03643872221547431,0.0,0.0,0.0,0.0,0.0,0.0,0.08502368516944006,0.07287744443094862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060731203692457186
65477,Sotanga,99.81452418319304,0.0,0.18547581680696248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65501,Ulmi,97.9567593252554,0.0,2.043240674744595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65609,Oras Fieni,99.52535937076213,0.05424464334147003,0.32546786004882017,0.0,0.0,0.04068348250610252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05424464334147003
65645,Motaieni,99.55401387512389,0.0,0.44598612487611494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65681,Oras Gaesti,98.0453972257251,0.055170239596469106,1.7969735182849937,0.0,0.0,0.07093316519546028,0.0,0.0,0.0,0.0,0.031525851197982346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65707,Gura Foii,99.32432432432432,0.0,0.6756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65752,Petresti,99.7009148486981,0.0,0.19352568613652357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1055594651653765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65841,Municipiul Moreni,98.16085489313836,0.0562429696287964,1.7097862767154106,0.0,0.01687289088863892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01687289088863892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03937007874015748
65869,Iedera,90.98463863006799,0.0,9.015361369932007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65921,Oras Pucioasa,98.98026557112465,0.022008656738317072,0.9390360208348617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02934487565108943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02934487565108943
66009,Branesti,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66081,Oras Titu,96.3491893052722,0.0,3.5649092666165574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042950714055621175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042950714055621175
66152,Branistea,97.74223894637818,0.0,2.257761053621825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66198,Baleni,68.6119679210364,0.0,15.077112893275755,0.0,0.0,0.0,0.0,0.0,5.26835286859963,0.0,11.042566317088218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
